order_date,customer_name,country,category,sub_category,sales,quantity,discount,profit,shipping_cost,year,revenue
01-01-2011,Toby Braunhardt,Algeria,Office Supplies,Storage,408,2,0,106.14,35.46,2011,408
02-01-2011,Joseph Holt,Australia,Office Supplies,Supplies,120,3,0.1,36.036,9.72,2011,120
03-01-2011,Annie Thurman,Hungary,Office Supplies,Storage,66,4,0,29.64,8.17,2011,66
04-01-2011,Eugene Moren,Sweden,Office Supplies,Paper,45,3,0.5,-26.055,4.82,2011,45
05-01-2011,Joseph Holt,Australia,Furniture,Furnishings,114,5,0.1,37.77,4.7,2011,114
06-01-2011,Joseph Holt,Australia,Office Supplies,Paper,55,2,0.1,15.342,1.8,2011,55
07-01-2011,Magdelene Morse,Canada,Technology,Machines,314,1,0,3.12,24.1,2011,314
08-01-2011,Kean Nguyen,Australia,Office Supplies,Appliances,276,1,0.1,110.412,125.32,2011,276
09-01-2011,Ken Lonsdale,New Zealand,Technology,Copiers,912,4,0.4,-319.464,107.1,2011,912
10-01-2011,Lindsay Williams,Iraq,Furniture,Chairs,667,4,0,253.32,81.26,2011,667
11-01-2011,Larry Blacks,Philippines,Office Supplies,Storage,338,3,0.45,-122.8005,33.75,2011,338
12-01-2011,Larry Blacks,Philippines,Furniture,Tables,211,1,0.55,-70.3995,21.32,2011,211
13-01-2011,Dorothy Dickinson,United Kingdom,Furniture,Bookcases,854,7,0,290.43,12.56,2011,854
14-01-2011,Dennis Pardue,Malaysia,Technology,Copiers,193,1,0,50.13,10.4,2011,193
15-01-2011,Ken Lonsdale,New Zealand,Furniture,Chairs,159,2,0.4,-95.676,10.07,2011,159
16-01-2011,Stewart Visinsky,Guatemala,Technology,Phones,195,4,0,44.88,8.43,2011,195
17-01-2011,Jas O'Carroll,Iran,Office Supplies,Appliances,123,2,0,42.9,8.41,2011,123
18-01-2011,Ken Lonsdale,New Zealand,Technology,Accessories,69,2,0.4,3.42,8.34,2011,69
19-01-2011,Ken Lonsdale,New Zealand,Furniture,Chairs,69,2,0.4,-26.412,8.17,2011,69
03-01-2011,Chris McAfee,Thailand,Office Supplies,Storage,135,2,0.47,-45.9018,7.74,2011,135
03-01-2011,Kean Nguyen,Australia,Office Supplies,Labels,36,3,0.1,4.743,7.46,2011,36
03-01-2011,Nat Gilpin,Iran,Office Supplies,Art,52,1,0,7.77,5.91,2011,52
03-01-2011,Jas O'Carroll,Iran,Office Supplies,Storage,62,2,0,8.7,5.16,2011,62
03-01-2011,Jack Garza,Tanzania,Office Supplies,Supplies,81,4,0,26.76,5.11,2011,81
03-01-2011,Lindsay Williams,Iraq,Office Supplies,Envelopes,47,1,0,17.07,3.57,2011,47
03-01-2011,Larry Blacks,Philippines,Office Supplies,Fasteners,6,1,0.45,0.546,0.8,2011,6
03-01-2011,Jas O'Carroll,Iran,Office Supplies,Fasteners,17,1,0,4.17,0.54,2011,17
04-01-2011,Russell Applegate,Brazil,Furniture,Bookcases,"1,648",6,0,609.84,109.13,2011,1648
04-01-2011,Maya Herman,Mexico,Technology,Accessories,223,4,0,13.28,42.28,2011,223
04-01-2011,Beth Thompson,Cuba,Office Supplies,Envelopes,186,6,0,3.6,16.39,2011,186
04-01-2011,Arthur Prichep,France,Office Supplies,Art,140,3,0,20.88,10.78,2011,140
04-01-2011,Russell Applegate,Brazil,Office Supplies,Supplies,149,8,0,28.16,10.38,2011,149
04-01-2011,Maya Herman,Mexico,Technology,Copiers,166,2,0.002,49.42824,9.54,2011,166
04-01-2011,Beth Thompson,Brazil,Office Supplies,Envelopes,74,6,0.6,-107.856,7.04,2011,74
04-01-2011,Arthur Wiediger,Cuba,Furniture,Chairs,38,1,0,6.88,4.25,2011,38
04-01-2011,Arthur Wiediger,Cuba,Technology,Accessories,38,2,0,2.24,3.94,2011,38
04-01-2011,Arthur Wiediger,Cuba,Office Supplies,Envelopes,39,3,0,7.68,3.51,2011,39
04-01-2011,Grant Thornton,United Kingdom,Office Supplies,Art,27,2,0.5,-21.9,2.11,2011,27
04-01-2011,Darren Powers,United States,Office Supplies,Paper,16,2,0.2,5.5512,1.82,2011,16
04-01-2011,Bradley Drucker,Japan,Office Supplies,Labels,27,3,0,13.68,1.54,2011,27
04-01-2011,Grant Thornton,United Kingdom,Office Supplies,Storage,17,2,0.5,-1.05,0.9,2011,17
04-01-2011,Jasper Cacioppo,Sudan,Office Supplies,Art,15,1,0,2.61,0.82,2011,15
04-01-2011,Jasper Cacioppo,Sudan,Office Supplies,Binders,6,1,0,2.1,0.51,2011,6
05-01-2011,Jennifer Halladay,Mexico,Office Supplies,Appliances,"3,029",8,0,999.36,191.2,2011,3029
05-01-2011,Michael Granlund,France,Office Supplies,Art,207,4,0,76.56,20.64,2011,207
05-01-2011,Michael Granlund,France,Office Supplies,Art,90,3,0,20.52,15.27,2011,90
05-01-2011,Phillina Ober,United States,Office Supplies,Storage,273,3,0.2,-64.7748,13.59,2011,273
05-01-2011,Shaun Weien,Taiwan,Furniture,Furnishings,49,1,0,22.92,5.82,2011,49
05-01-2011,Phillina Ober,United States,Office Supplies,Labels,12,3,0.2,4.2717,0.99,2011,12
05-01-2011,Phillina Ober,United States,Office Supplies,Binders,4,2,0.8,-5.487,0.55,2011,4
06-01-2011,Shahid Hopkins,France,Furniture,Furnishings,324,3,0,35.64,39.98,2011,324
06-01-2011,Brosina Hoffman,Indonesia,Office Supplies,Storage,50,3,0.17,6.0084,6.2,2011,50
06-01-2011,Robert Dilbeck,Vietnam,Office Supplies,Storage,90,2,0.17,29.2686,3.62,2011,90
06-01-2011,Brosina Hoffman,Indonesia,Office Supplies,Fasteners,41,7,0.47,-27.0942,2.63,2011,41
06-01-2011,Robert Dilbeck,Vietnam,Office Supplies,Paper,39,3,0.17,11.5893,2.45,2011,39
06-01-2011,Grace Kelly,Angola,Technology,Accessories,28,1,0,12.72,2,2011,28
06-01-2011,Khloe Miller,China,Office Supplies,Envelopes,31,1,0,13.11,1.96,2011,31
06-01-2011,Mick Brown,United States,Office Supplies,Art,20,3,0.2,4.884,1.85,2011,20
07-01-2011,Maria Etezadi,United States,Furniture,Chairs,"2,574",9,0,746.4078,258.99,2011,2574
07-01-2011,Maria Etezadi,United States,Office Supplies,Binders,610,2,0,274.491,88.07,2011,610
07-01-2011,Maria Etezadi,United States,Technology,Phones,392,2,0,113.6742,62.37,2011,392
07-01-2011,Stewart Visinsky,Mozambique,Office Supplies,Storage,256,2,0,46.02,52.46,2011,256
07-01-2011,Maribeth Schnelling,Philippines,Technology,Machines,445,7,0.25,-136.71,46.97,2011,445
07-01-2011,Maribeth Schnelling,Philippines,Technology,Accessories,274,2,0.45,-44.838,42.19,2011,274
07-01-2011,Dave Poirier,France,Office Supplies,Storage,716,4,0.1,143.16,32.46,2011,716
07-01-2011,Maribeth Schnelling,Philippines,Technology,Machines,388,3,0.25,25.8075,26.2,2011,388
07-01-2011,Harry Marie,Lebanon,Technology,Copiers,174,1,0,71.46,23.84,2011,174
07-01-2011,Maria Etezadi,United States,Technology,Phones,756,4,0,204.1092,13.82,2011,756
07-01-2011,Stewart Visinsky,Mozambique,Office Supplies,Art,45,1,0,8.49,13.7,2011,45
07-01-2011,Dave Poirier,France,Office Supplies,Fasteners,33,3,0,2.25,9.73,2011,33
07-01-2011,Dave Poirier,France,Furniture,Bookcases,155,1,0.1,36.228,5.72,2011,155
07-01-2011,Lycoris Saunders,United States,Office Supplies,Paper,19,3,0,9.3312,4.37,2011,19
07-01-2011,Alyssa Crouse,Algeria,Office Supplies,Art,91,2,0,14.58,4.36,2011,91
07-01-2011,Dorothy Dickinson,Brazil,Office Supplies,Fasteners,43,4,0,6,3.94,2011,43
07-01-2011,Dorothy Dickinson,Brazil,Office Supplies,Binders,19,3,0,2.4,3.69,2011,19
07-01-2011,Jack O'Briant,United States,Office Supplies,Art,13,3,0,5.2398,3.51,2011,13
07-01-2011,Maribeth Schnelling,Philippines,Office Supplies,Art,27,1,0.45,-4.494,3.21,2011,27
07-01-2011,Harry Marie,Lebanon,Furniture,Furnishings,26,1,0,7.38,2.88,2011,26
07-01-2011,Maria Etezadi,United States,Office Supplies,Fasteners,31,4,0,0.3112,2.19,2011,31
07-01-2011,Maria Etezadi,United States,Office Supplies,Paper,7,1,0,3.0084,1.13,2011,7
07-01-2011,Adam Bellavance,Singapore,Office Supplies,Labels,18,2,0,5.46,0.89,2011,18
07-01-2011,Maria Etezadi,United States,Office Supplies,Art,5,2,0,1.4796,0.52,2011,5
07-01-2011,Joy Smith,Netherlands,Office Supplies,Art,5,1,0.5,-0.105,0.28,2011,5
08-01-2011,Henia Zydlo,Angola,Furniture,Bookcases,"2,479",6,0,49.5,349.87,2011,2479
08-01-2011,Nicole Fjeld,China,Technology,Machines,"2,174",7,0,260.82,275.52,2011,2174
08-01-2011,Darren Powers,France,Furniture,Bookcases,987,6,0.6,-1011.636,65.64,2011,987
08-01-2011,Christopher Martinez,Guatemala,Office Supplies,Storage,397,3,0,182.52,33.67,2011,397
08-01-2011,Vivek Sundaresam,United States,Furniture,Furnishings,77,3,0.6,-53.7096,6.69,2011,77
08-01-2011,Christopher Martinez,Guatemala,Office Supplies,Binders,50,7,0,20.3,5.66,2011,50
08-01-2011,Darren Powers,France,Office Supplies,Art,116,5,0.5,-55.65,3.91,2011,116
08-01-2011,Joe Elijah,Nigeria,Office Supplies,Binders,5,2,0.7,-4.542,0.82,2011,5
08-01-2011,Vivek Sundaresam,United States,Office Supplies,Binders,10,7,0.8,-18.2525,0.63,2011,10
09-01-2011,Ed Braxton,Indonesia,Technology,Phones,240,2,0.17,-11.6028,34.99,2011,240
09-01-2011,Alejandro Grove,Vietnam,Technology,Accessories,177,6,0.47,-156.6792,17.09,2011,177
09-01-2011,Sample Company A,Philippines,Office Supplies,Storage,158,5,0.45,-2.9775,10.08,2011,158
09-01-2011,Alejandro Grove,Vietnam,Technology,Phones,124,2,0.17,32.793,7.93,2011,124
09-01-2011,Sample Company A,Philippines,Office Supplies,Fasteners,52,7,0.45,4.5885,5.55,2011,52
09-01-2011,Alejandro Grove,Vietnam,Office Supplies,Labels,45,5,0.17,17.8935,3.31,2011,45
09-01-2011,Sample Company A,Philippines,Office Supplies,Paper,9,1,0.45,-1.7175,0.69,2011,9
09-01-2011,Alejandro Grove,Vietnam,Office Supplies,Binders,10,2,0.17,0.0714,0.25,2011,10
10-01-2011,Dan Lawera,Australia,Technology,Phones,"2,875",5,0.1,511.095,665.27,2011,2875
